creature	,	生物	,	生物	,	생물	,
habits	,	習慣	,	習慣	,	버릇	,
become	,	成為	,	なります	,	지다	,
own	,	擁有	,	自分の	,	개인적인	,
until	,	直到	,	まで	,	...까지	,
break	,	打破	,	ブレーク	,	단절	,
flesh	,	肉	,	肉	,	육체	,
rich	,	豐富	,	リッチ	,	풍부한	,
greedy	,	貪婪	,	貪欲	,	탐욕스러운	,
poor	,	較差的	,	貧しいです	,	가난한	,
produce	,	生產	,	作物	,	생산액	,
estate	,	房地產	,	エステート	,	재산	,
struggling	,	奮鬥的	,	悪戦苦闘	,	어려움을 겪고	,
financially	,	經濟	,	財政	,	재정적으로	,
worried	,	擔心	,	心配	,	걱정	,
evil	,	邪惡	,	悪の	,	악	,
disappear	,	消失	,	姿を消す	,	사라지다	,
athletes	,	運動員	,	選手	,	운동 선수	,
bankrupt	,	破產者	,	破産	,	파산자	,
fear	,	恐懼	,	恐れ	,	무서움	,
truthful	,	真實	,	真実な	,	거짓말 안하는	,
imagination	,	想像力	,	想像力	,	상상력	,
empower	,	賦權	,	EMPOWER	,	임 파워	,
lack	,	缺乏	,	欠如	,	결핍	,
real	,	真實	,	リアル	,	레알	,
debt	,	債務	,	債務	,	빚	,
taxes	,	稅	,	税	,	구실	,
stuff	,	東西	,	スタッフ	,	물건	,
crashes	,	崩潰	,	クラッシュ	,	충돌	,
stabbed	,	被刺	,	刺さ	,	칼에 찔린	,
grow	,	增長	,	育ちます	,	성장	,
spirituality	,	靈性	,	スピリチュアリティ	,	영성	,
positive	,	建設性的；積極的；懷有希望的	,	ポジティブ	,	양	,
average	,	平均	,	平均	,	평균	,
discussion	,	討論	,	討論	,	토론	,
effective	,	有效	,	効果的な	,	유효한	,
introduction	,	介紹	,	前書き	,	소개	,
observation	,	意見	,	観察	,	관측	,
hooked	,	上鉤	,	フック	,	후크	,
medicine	,	藥物	,	薬	,	약	,
economist	,	經濟學家	,	エコノミスト	,	경제학자	,
well	,	好	,	上手	,	잘	,
these	,	這些	,	これら	,	이들	,
unique	,	獨特	,	ユニーク	,	독특한	,
scenario	,	腳本	,	シナリオ	,	대본	,
attention	,	注意	,	注意	,	주의	,
dimension	,	層面，維度；特點	,	寸法	,	치수	,
skydiving	,	跳傘	,	スカイダイビング	,	스카이 다이빙	,
curiosity	,	好奇心	,	好奇心	,	호기심	,
famous	,	著名	,	名高いです	,	유명한	,
quote	,	引用	,	見積もり	,	인용문	,
arouse	,	引起	,	そそります	,	깨우다	,
surprising	,	奇怪	,	驚くべき	,	놀라운	,
shocking	,	觸目驚心	,	ショッキング	,	충격적인	,
statistic	,	統計	,	統計的	,	통계량	,
alcohol-related	,	酒精相關	,	アルコール関連	,	알코올 - 관련	,
traffic	,	交通	,	トラフィック	,	교통	,
rise	,	上升	,	上がり	,	오르기	,
continue	,	繼續	,	継続する	,	계속하다	,
techniques	,	技術	,	テクニック	,	기법	,
funnel	,	漏斗	,	漏斗	,	깔때기	,
turnabout	,	變節	,	方向転換	,	전향	,
specific	,	具體	,	明確な	,	특유한	,
especially	,	特別	,	特に	,	특히	,
illustrate	,	說明	,	説明	,	설명	,
travelling	,	旅遊	,	旅行	,	여행	,
foreign	,	國外	,	外国の	,	외국의	,
instance	,	實例；情況	,	インスタンス	,	예	,
delight	,	喜	,	喜び	,	기쁨	,
statement	,	聲明	,	ステートメント	,	성명서	,
actual	,	實際	,	実際の	,	실제	,
introductory	,	介紹	,	入門	,	소개	,
opposite	,	對面	,	逆の	,	반대말	,
believed	,	相信	,	信じ	,	생각	,
parents	,	父母	,	親	,	부모님	,
indeed	,	確實	,	確かに	,	과연	,
perfect	,	完善	,	パーフェクト	,	완전한	,
solve	,	解決	,	解決する	,	풀다	,
grow	,	增長	,	育ちます	,	성장	,
parents	,	父母	,	親	,	부모님	,
below	,	下面	,	未満	,	이하	,
obviously	,	明顯	,	明らかに	,	명백하게	,
education	,	教育	,	教育	,	교육	,
goal	,	目標	,	ゴール	,	골	,
enroll	,	註冊	,	登録ステム	,	싸다	,
sound	,	聲音	,	音	,	소리	,
undergraduate	,	大學本科	,	学部	,	대학 재학생	,
fact	,	事實	,	事実	,	것	,
afford	,	給予	,	与えます	,	형편이되다	,
certainly	,	當然	,	もちろん	,	확실히	,
employ	,	採用	,	採用	,	고용	,
tutor	,	導師	,	家庭教師	,	가정 교사	,
extra	,	額外	,	エクストラ	,	특별한	,
early	,	早	,	早いです	,	이른	,
academic	,	學術的	,	アカデミック	,	학생	,
detrimental	,	有害	,	有害	,	해로운	,
intellectual	,	知識分子	,	知的	,	지적인	,
growth	,	發展	,	成長	,	성장	,
diminishes	,	減少	,	減少	,	감소	,
participation	,	參與	,	参加	,	참여	,
tourist	,	遊客	,	ツーリスト	,	관광객	,
attraction	,	引力	,	魅力	,	끌어 당김	,
thousands	,	數千	,	数千	,	수천	,
publicity	,	公開	,	宣伝	,	널리 알려짐	,
territory	,	領土	,	地域	,	영토	,
examination	,	檢查	,	検査	,	시험	,
reveal	,	揭示	,	明らかにする	,	창틀	,
theme	,	主題	,	テーマ	,	테마	,
destroyed	,	銷毀	,	破壊されました	,	파괴됨	,
pristine	,	質樸	,	自然のまま	,	본래의	,
natural	,	自然	,	ナチュラル	,	자연스러운	,
habitat	,	棲息地	,	生息地	,	서식지	,
aggravated	,	加重	,	悪化	,	악화	,
noise	,	噪聲	,	ノイズ	,	소음	,
pollution	,	污染	,	汚染	,	타락	,
cost	,	成本	,	費用	,	비용	,
taxpayers	,	納稅人	,	納税者	,	납세자	,
billion	,	十億	,	十億	,	십억	,
effective	,	有效	,	効果的な	,	유효한	,
attention	,	注意	,	注意	,	주의	,
essay	,	文章	,	エッセイ	,	수필	,
almost	,	幾乎	,	ほとんど	,	거의	,
actually	,	其實	,	実際	,	사실은	,
spent	,	花費	,	過ごし	,	소비	,
prince	,	王子	,	王子	,	왕자	,
glamorous	,	富有魅力的	,	グラマラス	,	매력적인	,
sweeping	,	籠統的	,	掃除	,	청소	,
meals	,	餐	,	食事	,	식사	,
chores	,	瑣事	,	雑用	,	집안일	,
particularly	,	尤其	,	特に	,	특별히	,
probably	,	大概	,	恐らく	,	아마	,
duty	,	義務	,	関税	,	의무	,
increasingly	,	日益	,	ますます	,	더욱 더	,
society	,	社會	,	社会	,	사회	,
definite	,	定	,	確か	,	명확한	,
ironing	,	熨燙	,	アイロン	,	다리미질	,
washing	,	洗滌	,	洗浄	,	세탁	,
bathroom	,	浴室	,	バスルーム	,	화장실	,
thesis	,	論文	,	定説	,	명제	,
opinion	,	意見	,	意見	,	의견	,
expresses	,	表達	,	表現	,	표현	,
major	,	重大的	,	主要な	,	주요한	,
direction	,	方向	,	方向	,	방향	,
unity	,	統一	,	団結	,	단일성	,
controlling	,	控制	,	制御	,	제어	,
stand	,	站	,	スタンド	,	대	,
patience	,	忍耐	,	根気	,	인내	,
sense	,	感	,	感覚	,	감각	,
humor	,	幽默	,	ユーモア	,	기분	,
rewards	,	獎勵	,	報酬	,	보상	,
self-discipline	,	自律	,	自粛	,	자기 훈련	,
cooperation	,	合作	,	連携	,	협력	,
leadership	,	領導	,	リーダーシップ	,	지도	,
dangerous	,	危險	,	危険な	,	위험한	,
victim	,	受害者	,	犠牲者	,	희생자	,
surrounding	,	周圍	,	囲繞	,	주위의	,
factual	,	事實	,	事実の	,	사실의	,
purpose	,	目的	,	目的	,	목적	,
sense	,	感	,	感覚	,	감각	,
complex	,	複雜	,	繁雑	,	복잡한	,
personality	,	個性	,	人	,	인격	,
announcement	,	公告	,	発表	,	발표	,
loneliness	,	孤單	,	孤独	,	외로움	,
creativity	,	創造力	,	創造性	,	창의성	,
sort out	,	整理	,	整理する	,	가리다	,
empathy	,	同情	,	共感	,	감정 이입	,
loneliness	,	孤單	,	孤独	,	외로움	,
paper	,	紙	,	論文	,	종이	,
plagiarism	,	抄襲	,	盗作	,	표절	,
unpleasant	,	不愉快	,	不快	,	불쾌한	,
crisis	,	危機	,	危機	,	위기	,
marriage	,	婚姻	,	結婚	,	결혼	,
television	,	電視	,	テレビ	,	텔레비전	,
affect	,	影響	,	影響を及ぼす	,	영향을 미치다	,
relationships	,	關係	,	関係	,	관계	,
stepparents	,	繼父母	,	stepparents	,	양부모	,
stepchildren	,	繼子女	,	継子	,	의붓	,
education	,	教育	,	教育	,	교육	,
suspicious	,	可疑	,	疑わしい	,	의심 많은	,
meat	,	肉	,	肉	,	고기	,
thought	,	思想	,	思想	,	생각	,
alive	,	活	,	生きています	,	살아 있는	,
